areaCode,areaName,areaType,date,capacityPillarOneTwo,cumAdmissions,cumCasesBySpecimenDate,cumDailyNsoDeathsByDeathDate,cumDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,08/12/2020,559686,236007,1794354,81285,63833
K02000001,United Kingdom,overview,07/12/2020,561716,234224,1773579,80813,63398
K02000001,United Kingdom,overview,06/12/2020,555960,232562,1752257,80347,62978
K02000001,United Kingdom,overview,05/12/2020,561836,231091,1738685,79911,62558
K02000001,United Kingdom,overview,04/12/2020,560589,229712,1725954,79504,62163
K02000001,United Kingdom,overview,03/12/2020,578098,228280,1710299,79005,61688
K02000001,United Kingdom,overview,02/12/2020,578287,226778,1694674,78501,61214
K02000001,United Kingdom,overview,01/12/2020,578137,225292,1678201,78087,60828
K02000001,United Kingdom,overview,30/11/2020,568415,223802,1661751,77662,60429
K02000001,United Kingdom,overview,29/11/2020,541159,222396,1643746,77197,60006
K02000001,United Kingdom,overview,28/11/2020,536262,221008,1633065,76696,59541
K02000001,United Kingdom,overview,27/11/2020,534326,219788,1622105,76210,59074
K02000001,United Kingdom,overview,26/11/2020,533800,218508,1607742,75750,58649
K02000001,United Kingdom,overview,25/11/2020,534125,217082,1593176,75289,58216
K02000001,United Kingdom,overview,24/11/2020,528125,215468,1576567,74790,57732
K02000001,United Kingdom,overview,23/11/2020,525856,213969,1560120,74294,57271
K02000001,United Kingdom,overview,22/11/2020,535906,212381,1541355,73786,56807
K02000001,United Kingdom,overview,21/11/2020,538088,210889,1529627,73274,56332
K02000001,United Kingdom,overview,20/11/2020,537326,209427,1517280,72776,55866
K02000001,United Kingdom,overview,19/11/2020,537771,207876,1500437,72291,55412
K02000001,United Kingdom,overview,18/11/2020,536471,206189,1482693,71806,54951
K02000001,United Kingdom,overview,17/11/2020,529691,204403,1461946,71292,54464
K02000001,United Kingdom,overview,16/11/2020,519417,202685,1438792,70826,54024
K02000001,United Kingdom,overview,15/11/2020,504595,200914,1412223,70395,53601
K02000001,United Kingdom,overview,14/11/2020,514418,199239,1396203,69938,53147
K02000001,United Kingdom,overview,13/11/2020,520135,197622,1378217,69479,52716
K02000001,United Kingdom,overview,12/11/2020,519951,195971,1354187,69029,52280
K02000001,United Kingdom,overview,11/11/2020,518957,194055,1329729,68599,51859
K02000001,United Kingdom,overview,10/11/2020,511451,192083,1302385,68190,51468
K02000001,United Kingdom,overview,09/11/2020,504491,190227,1274976,67780,51077
K02000001,United Kingdom,overview,08/11/2020,517957,188458,1243939,67287,50595
K02000001,United Kingdom,overview,07/11/2020,527761,186766,1223985,66854,50180
K02000001,United Kingdom,overview,06/11/2020,530046,185207,1205469,66437,49788
K02000001,United Kingdom,overview,05/11/2020,529268,183789,1182155,66020,49387
K02000001,United Kingdom,overview,04/11/2020,523468,182198,1158422,65632,49007
K02000001,United Kingdom,overview,03/11/2020,523868,180510,1134752,65292,48678
K02000001,United Kingdom,overview,02/11/2020,513334,178984,1109176,64915,48317
K02000001,United Kingdom,overview,01/11/2020,509007,177410,1077669,64577,47980
K02000001,United Kingdom,overview,31/10/2020,519289,175912,1061923,64218,47621
K02000001,United Kingdom,overview,30/10/2020,472592,174451,1045442,63878,47301
K02000001,United Kingdom,overview,29/10/2020,468979,173066,1022793,63526,46962
K02000001,United Kingdom,overview,28/10/2020,459069,171474,999455,63206,46649
K02000001,United Kingdom,overview,27/10/2020,433474,169980,975853,62925,46362
K02000001,United Kingdom,overview,26/10/2020,427312,168481,951779,62640,46096
K02000001,United Kingdom,overview,25/10/2020,364164,166940,925236,62358,45816
K02000001,United Kingdom,overview,24/10/2020,361246,165517,909522,62103,45566
K02000001,United Kingdom,overview,23/10/2020,356668,164255,893301,61884,45353
K02000001,United Kingdom,overview,22/10/2020,347674,162956,871849,61659,45130
K02000001,United Kingdom,overview,21/10/2020,367108,161671,848628,61417,44894
K02000001,United Kingdom,overview,20/10/2020,364574,160407,823204,61185,44673
K02000001,United Kingdom,overview,19/10/2020,359220,159214,797897,60975,44476
K02000001,United Kingdom,overview,18/10/2020,330370,158106,772298,60782,44284
K02000001,United Kingdom,overview,17/10/2020,327668,157015,758110,60615,44124
K02000001,United Kingdom,overview,16/10/2020,328461,155983,743364,60429,43946
K02000001,United Kingdom,overview,15/10/2020,323006,155058,725655,60267,43796
